日期,地区,城市,品类,渠道,销售额,销量,利润
2023-11-18,东北,哈尔滨,美妆个护,线上,470,2,208
2023-11-16,华南,深圳,家用电器,线下,3570,2,819
2023-11-05,华东,上海,家用电器,线下,6050,9,1343
2023-11-11,东北,大连,服饰鞋包,线下,1140,9,353
2023-11-01,东北,沈阳,家用电器,线下,7730,9,1960
2023-11-02,华东,苏州,美妆个护,线下,1050,4,371
2023-11-14,华东,南京,手机数码,线上,5650,4,854
2023-11-05,华南,海口,服饰鞋包,线上,2000,5,598
2023-11-22,华北,太原,家用电器,线上,3370,5,757
2023-11-22,西北,乌鲁木齐,手机数码,线上,2800,5,524
2023-11-23,西南,昆明,电脑办公,线上,9480,7,2552
2023-11-07,东北,大连,食品生鲜,线下,230,7,30
2023-11-13,华东,苏州,食品生鲜,线上,530,7,76
2023-11-15,华南,广州,服饰鞋包,线下,2150,6,510
2023-11-21,华中,郑州,美妆个护,线上,650,3,164
2023-11-01,东北,沈阳,服饰鞋包,线上,1230,7,304
2023-11-13,西南,贵阳,美妆个护,线下,1440,6,476
2023-12-08,西南,贵阳,美妆个护,线下,420,3,170
2023-12-17,西北,兰州,美妆个护,线上,320,6,110
2023-12-13,华中,长沙,食品生鲜,线上,280,2,37
2023-12-25,华东,苏州,电脑办公,线上,2590,8,487
2023-12-22,东北,沈阳,美妆个护,线下,950,2,247
2023-12-11,华北,天津,食品生鲜,线下,330,2,44
2023-12-22,华北,石家庄,电脑办公,线上,6270,3,1406
2023-12-11,华东,杭州,服饰鞋包,线上,1110,7,393
2023-12-13,西北,兰州,家用电器,线上,2750,5,529
2023-12-19,华东,上海,电脑办公,线下,6640,6,1297
2023-12-24,西南,贵阳,手机数码,线下,5480,6,655
2023-12-23,东北,大连,电脑办公,线上,3490,1,994
2023-12-25,西南,重庆,手机数码,线下,3220,7,669
2023-12-22,西北,乌鲁木齐,服饰鞋包,线上,1010,3,315
2023-12-12,西南,重庆,食品生鲜,线上,380,5,60
2023-12-14,华南,厦门,服饰鞋包,线下,980,5,343
2023-12-16,华东,苏州,手机数码,线下,4760,7,967
2023-12-05,东北,大连,手机数码,线上,2340,9,409
2023-12-03,华中,郑州,家用电器,线下,2860,4,631
2023-12-20,华北,太原,食品生鲜,线上,350,3,36
2023-12-15,西北,兰州,电脑办公,线上,3360,3,886
2023-12-26,华中,长沙,电脑办公,线下,6240,2,1138
2023-12-21,华中,长沙,电脑办公,线上,6120,7,1488
2023-12-05,东北,哈尔滨,家用电器,线上,2670,3,597
2023-12-24,华南,深圳,家用电器,线上,4610,4,1045
2023-12-09,华南,厦门,手机数码,线上,4360,8,605
2023-12-06,西南,成都,食品生鲜,线上,200,9,35
2023-12-17,华南,厦门,美妆个护,线下,1000,6,307
2023-12-03,华东,杭州,食品生鲜,线下,230,7,40
2023-12-17,东北,沈阳,食品生鲜,线下,360,5,39
2023-12-27,华北,北京,食品生鲜,线下,400,1,50
2023-12-26,华东,南京,服饰鞋包,线上,960,6,357
2023-12-23,华中,武汉,手机数码,线下,2280,3,275
2023-12-06,西南,重庆,食品生鲜,线下,420,8,45
2023-12-05,华南,深圳,美妆个护,线上,740,9,217
2023-12-03,华北,天津,服饰鞋包,线上,850,3,313
2024-01-27,华东,南京,服饰鞋包,线上,750,9,218
2024-01-11,华东,杭州,食品生鲜,线上,130,1,20
2024-01-17,东北,沈阳,电脑办公,线下,4620,4,1228
2024-01-10,华南,深圳,食品生鲜,线下,220,8,32
2024-01-09,华东,上海,家用电器,线上,2650,8,482
2024-01-17,华东,苏州,手机数码,线下,4000,4,471
2024-01-23,东北,哈尔滨,家用电器,线下,1630,9,339
2024-01-01,华中,长沙,食品生鲜,线下,240,4,41
2024-01-22,东北,哈尔滨,服饰鞋包,线下,1140,2,340
2024-01-13,东北,哈尔滨,食品生鲜,线下,200,9,27
2024-01-27,西北,乌鲁木齐,服饰鞋包,线下,660,5,141
2024-01-12,华中,南昌,食品生鲜,线上,170,9,30
2024-01-17,华南,海口,家用电器,线下,3590,2,863
2024-01-09,华北,太原,手机数码,线下,2200,2,367
2024-01-03,西北,乌鲁木齐,电脑办公,线下,3230,3,507
2024-01-01,华东,苏州,服饰鞋包,线上,1030,6,218
2024-01-17,华北,北京,美妆个护,线下,580,6,140
2024-01-12,西北,西安,食品生鲜,线上,190,2,23
2024-01-19,华北,北京,美妆个护,线下,400,5,130
2024-01-17,华东,南京,美妆个护,线下,520,4,136
2024-01-02,华中,武汉,家用电器,线上,1330,3,254
2024-01-20,华中,郑州,食品生鲜,线下,330,9,41
2024-01-01,东北,哈尔滨,美妆个护,线上,270,9,85
2024-01-01,东北,大连,电脑办公,线上,3460,8,586
2024-01-05,华北,北京,美妆个护,线上,240,5,104
2024-01-23,西北,乌鲁木齐,电脑办公,线上,3540,2,750
2024-01-15,西北,西安,手机数码,线下,3430,3,445
2024-01-05,华北,天津,手机数码,线下,3120,6,353
2024-01-27,西南,昆明,电脑办公,线上,4390,5,677
2024-01-21,华北,太原,食品生鲜,线上,260,7,45
2024-01-13,华南,厦门,电脑办公,线下,3010,8,771
2024-01-11,华中,武汉,手机数码,线上,3930,8,532
2024-01-04,华南,深圳,服饰鞋包,线上,700,6,159
2024-01-04,华东,苏州,食品生鲜,线下,130,1,13
2024-01-20,东北,哈尔滨,服饰鞋包,线上,1030,9,288
2024-01-09,华南,厦门,食品生鲜,线下,230,2,37
2024-01-03,华中,南昌,服饰鞋包,线下,1050,1,323
2024-01-26,西北,兰州,食品生鲜,线上,110,6,13
2024-01-24,华北,天津,食品生鲜,线上,210,4,34
2024-01-16,西北,乌鲁木齐,服饰鞋包,线下,630,7,143
2024-01-23,华南,深圳,食品生鲜,线上,200,6,33
2024-01-21,华北,北京,食品生鲜,线下,310,2,49
2024-01-01,华南,深圳,服饰鞋包,线上,420,7,102
2024-01-19,东北,哈尔滨,手机数码,线下,4340,5,580
2024-01-03,华北,天津,手机数码,线上,3670,5,653
2024-01-10,西南,昆明,手机数码,线上,1810,7,306
2024-01-19,西南,贵阳,电脑办公,线上,4260,2,1092
2024-01-21,华北,天津,食品生鲜,线下,310,3,32
2024-01-22,华南,海口,家用电器,线上,2770,2,394
2024-01-09,华北,天津,美妆个护,线下,680,2,200
2024-01-22,华南,海口,手机数码,线上,3970,3,676
2024-02-04,西北,兰州,电脑办公,线下,5220,5,975
2024-02-17,华东,杭州,食品生鲜,线上,300,9,31
2024-02-12,西北,西安,服饰鞋包,线上,720,5,180
2024-02-23,华中,长沙,食品生鲜,线下,320,8,58
2024-02-22,华东,上海,电脑办公,线上,5240,4,850
2024-02-27,华中,长沙,食品生鲜,线上,160,9,26
2024-02-02,华中,南昌,美妆个护,线下,400,3,170
2024-02-06,华南,厦门,电脑办公,线下,7110,6,1171
2024-02-01,西南,成都,食品生鲜,线下,210,2,34
2024-02-20,华东,上海,美妆个护,线下,370,7,150
2024-02-06,华东,上海,食品生鲜,线下,350,6,62
2024-02-04,华东,上海,家用电器,线下,4120,7,960
2024-02-06,西南,贵阳,电脑办公,线上,6120,6,1443
2024-02-27,东北,哈尔滨,家用电器,线上,3230,1,518
2024-02-26,华北,北京,食品生鲜,线下,290,4,39
2024-02-16,东北,大连,食品生鲜,线下,140,4,14
2024-02-21,西北,乌鲁木齐,服饰鞋包,线上,590,9,138
2024-02-26,华东,苏州,家用电器,线上,2100,2,415
2024-02-24,华北,天津,手机数码,线下,4750,1,831
2024-02-05,东北,大连,手机数码,线下,2760,9,526
2024-02-03,西北,西安,家用电器,线上,2910,2,737
2024-02-24,华南,海口,家用电器,线上,2150,7,451
2024-02-18,华中,南昌,美妆个护,线上,650,4,241
2024-02-19,西南,成都,食品生鲜,线下,150,4,23
2024-02-18,西南,昆明,家用电器,线下,4240,3,1033
2024-02-10,华北,北京,美妆个护,线上,310,8,112
2024-02-04,西北,西安,服饰鞋包,线上,1200,4,306
2024-02-27,西北,西安,电脑办公,线下,6970,8,1859
2024-02-11,西南,贵阳,美妆个护,线上,480,7,182
2024-02-01,华东,南京,美妆个护,线下,640,1,232
2024-02-01,西北,兰州,食品生鲜,线上,230,9,23
2024-02-15,西南,重庆,服饰鞋包,线上,1100,9,359
2024-02-06,西北,兰州,食品生鲜,线下,340,1,48
2024-02-04,华东,南京,服饰鞋包,线下,800,9,210
2024-02-10,西南,贵阳,手机数码,线下,3180,1,448
2024-02-11,华南,深圳,电脑办公,线下,4600,7,777
2024-02-10,西北,乌鲁木齐,食品生鲜,线上,280,9,49
2024-03-15,华南,广州,电脑办公,线下,5570,3,930
2024-03-06,华北,天津,手机数码,线下,2240,2,351
2024-03-05,东北,大连,美妆个护,线上,270,8,102
2024-03-11,华中,南昌,美妆个护,线下,470,4,164
2024-03-10,华北,北京,服饰鞋包,线下,870,9,238
2024-03-22,华东,苏州,美妆个护,线下,460,7,111
2024-03-08,华北,石家庄,服饰鞋包,线下,710,1,209
2024-03-03,华南,广州,手机数码,线下,3270,9,431
2024-03-08,华东,上海,服饰鞋包,线上,460,9,102
2024-03-16,东北,哈尔滨,服饰鞋包,线下,1160,3,319
2024-03-08,华中,长沙,手机数码,线下,3240,2,636
2024-03-22,西南,昆明,食品生鲜,线下,160,7,22
2024-03-14,华中,长沙,服饰鞋包,线上,600,7,145
2024-03-02,西北,兰州,食品生鲜,线上,300,4,46
2024-03-13,华北,石家庄,食品生鲜,线上,240,6,32
2024-03-13,东北,大连,美妆个护,线下,480,6,138
2024-03-21,西南,贵阳,电脑办公,线下,4490,2,839
2024-03-09,西北,西安,手机数码,线下,3330,9,456
2024-03-07,西北,西安,服饰鞋包,线下,610,8,221
2024-03-13,华北,北京,电脑办公,线上,5020,9,1225
2024-03-21,华北,北京,电脑办公,线上,2710,2,437
2024-03-14,西南,贵阳,家用电器,线下,3080,1,647
2024-03-18,华中,郑州,电脑办公,线下,5020,7,1079
2024-03-11,华北,太原,服饰鞋包,线上,1010,4,246
2024-03-01,华南,海口,电脑办公,线上,4100,1,790
2024-03-22,华北,太原,食品生鲜,线下,180,7,20
2024-03-13,华南,厦门,家用电器,线下,1420,3,303
2024-03-25,西南,贵阳,服饰鞋包,线上,710,5,245
2024-03-01,西北,乌鲁木齐,家用电器,线下,3690,6,921
2024-03-20,东北,大连,服饰鞋包,线下,680,8,243
2024-03-25,东北,沈阳,美妆个护,线上,370,1,98
2024-03-02,华东,上海,电脑办公,线下,4890,1,1172
2024-03-01,华东,苏州,电脑办公,线下,5070,3,1242
2024-03-03,华南,深圳,电脑办公,线上,3660,4,796
2024-03-26,华东,上海,电脑办公,线上,5270,7,1037
2024-03-11,华东,杭州,美妆个护,线下,380,8,99
2024-03-17,西南,成都,美妆个护,线上,520,8,157
2024-03-12,西北,西安,食品生鲜,线下,290,7,48
2024-03-14,西北,兰州,家用电器,线上,2710,6,461
2024-03-06,西南,贵阳,服饰鞋包,线上,380,6,93
2024-03-14,西南,昆明,食品生鲜,线上,140,2,14
2024-03-12,东北,哈尔滨,手机数码,线下,2690,1,334
2024-03-01,东北,哈尔滨,美妆个护,线下,340,2,94
2024-03-13,华中,长沙,手机数码,线上,3360,7,692
2024-03-24,华南,深圳,服饰鞋包,线上,570,9,212
2024-04-19,华中,长沙,食品生鲜,线下,210,6,37
2024-04-19,华东,上海,食品生鲜,线上,150,6,15
2024-04-26,华北,太原,食品生鲜,线下,240,7,33
2024-04-12,华中,郑州,手机数码,线上,4290,3,774
2024-04-15,华北,石家庄,服饰鞋包,线下,1160,6,251
2024-04-08,华南,厦门,美妆个护,线下,760,4,319
2024-04-04,东北,沈阳,电脑办公,线上,4380,8,985
2024-04-17,东北,哈尔滨,手机数码,线上,3160,8,465
2024-04-01,华北,石家庄,食品生鲜,线下,230,4,30
2024-04-17,华中,郑州,家用电器,线上,2790,8,422
2024-04-21,华北,太原,手机数码,线下,1720,4,345
2024-04-15,华北,石家庄,食品生鲜,线下,310,6,38
2024-04-19,西北,乌鲁木齐,电脑办公,线下,2750,4,764
2024-04-15,东北,哈尔滨,服饰鞋包,线下,760,4,249
2024-04-07,华东,苏州,手机数码,线下,1730,7,201
2024-04-22,西南,贵阳,手机数码,线下,2120,2,408
2024-04-10,西南,重庆,食品生鲜,线下,300,6,50
2024-04-11,东北,大连,家用电器,线上,2090,9,508
2024-04-07,华北,石家庄,家用电器,线下,1520,4,362
2024-04-25,华中,武汉,家用电器,线下,2120,1,335
2024-04-12,华南,厦门,美妆个护,线上,700,2,281
2024-04-25,东北,沈阳,家用电器,线上,2000,6,325
2024-04-24,西北,乌鲁木齐,服饰鞋包,线下,930,1,358
2024-04-16,华中,武汉,手机数码,线上,4550,4,896
2024-04-27,东北,大连,食品生鲜,线上,170,1,20
2024-04-15,华南,海口,家用电器,线上,1740,5,427
2024-04-01,东北,大连,家用电器,线上,1970,7,498
2024-04-25,华南,海口,手机数码,线下,4020,7,633
2024-04-23,华北,太原,美妆个护,线下,790,8,215
2024-04-09,华北,北京,食品生鲜,线下,220,7,29
2024-04-21,华北,太原,家用电器,线上,2940,2,646
2024-04-24,华东,苏州,电脑办公,线下,3090,4,690
2024-04-24,西北,乌鲁木齐,手机数码,线下,3300,7,585
2024-04-25,西南,重庆,电脑办公,线上,3910,9,718
2024-04-21,西南,昆明,美妆个护,线下,520,7,189
2024-04-05,华中,武汉,美妆个护,线上,640,8,205
2024-04-08,西北,乌鲁木齐,食品生鲜,线下,150,5,24
2024-04-05,华北,天津,手机数码,线上,3060,1,501
2024-04-27,西南,贵阳,家用电器,线上,2460,5,391
2024-04-21,华北,太原,电脑办公,线下,3210,2,857
2024-05-19,华东,杭州,家用电器,线上,3360,9,587
2024-05-07,华东,苏州,家用电器,线上,2730,4,417
2024-05-24,华南,海口,服饰鞋包,线上,520,2,120
2024-05-06,华南,厦门,美妆个护,线上,410,8,106
2024-05-17,西北,兰州,服饰鞋包,线下,1030,1,324
2024-05-13,西北,西安,家用电器,线上,2110,2,474
2024-05-02,西南,贵阳,食品生鲜,线上,250,2,25
2024-05-10,华中,郑州,服饰鞋包,线下,770,4,293
2024-05-25,华中,长沙,手机数码,线上,2820,7,575
2024-05-09,华东,上海,食品生鲜,线下,300,9,31
2024-05-04,西南,贵阳,美妆个护,线上,520,5,222
2024-05-08,华北,北京,服饰鞋包,线下,1030,9,297
2024-05-13,西北,兰州,手机数码,线上,4340,8,876
2024-05-26,华中,南昌,服饰鞋包,线上,640,5,233
2024-05-27,西北,西安,服饰鞋包,线上,1000,9,274
2024-05-16,西北,兰州,美妆个护,线上,520,5,190
2024-05-14,西北,乌鲁木齐,家用电器,线下,2130,5,460
2024-05-26,华东,杭州,手机数码,线上,3100,1,447
2024-05-01,西北,乌鲁木齐,服饰鞋包,线下,1000,1,282
2024-05-09,华东,苏州,美妆个护,线上,410,8,130
2024-05-12,西南,贵阳,家用电器,线下,2750,8,571
2024-05-17,华中,长沙,电脑办公,线下,4560,8,868
2024-05-25,东北,沈阳,食品生鲜,线上,270,8,41
2024-05-20,东北,哈尔滨,服饰鞋包,线下,1220,8,366
2024-05-11,东北,大连,美妆个护,线上,510,7,177
2024-05-27,西北,乌鲁木齐,服饰鞋包,线下,1250,9,454
2024-05-07,华南,深圳,美妆个护,线上,290,5,111
2024-05-03,华北,石家庄,手机数码,线下,2440,2,276
2024-05-22,西南,成都,电脑办公,线下,5080,5,1059
2024-05-11,西南,重庆,服饰鞋包,线上,830,6,311
2024-05-07,西北,兰州,家用电器,线上,1320,5,234
2024-05-05,西南,贵阳,手机数码,线上,2720,4,536
2024-05-05,华中,郑州,电脑办公,线上,2100,9,528
2024-05-27,华东,苏州,服饰鞋包,线上,500,9,117
2024-05-19,华南,厦门,服饰鞋包,线上,680,7,155
2024-05-02,华南,海口,服饰鞋包,线下,860,7,214
2024-05-21,华北,北京,服饰鞋包,线下,550,1,136
2024-05-04,东北,大连,手机数码,线下,1820,8,249
2024-05-09,华东,苏州,美妆个护,线上,600,9,213
2024-05-23,华南,广州,电脑办公,线下,6250,9,1161
2024-05-24,华南,海口,手机数码,线上,3600,5,585
2024-05-27,西南,成都,美妆个护,线上,370,5,96
2024-05-15,华东,苏州,食品生鲜,线上,300,1,40
2024-05-17,东北,大连,美妆个护,线上,410,8,154
2024-05-19,华东,苏州,食品生鲜,线上,280,9,35
2024-05-25,华中,长沙,美妆个护,线下,790,3,343
2024-06-16,西北,兰州,家用电器,线上,4820,4,677
2024-06-27,西北,乌鲁木齐,美妆个护,线下,960,8,366
2024-06-07,西南,昆明,电脑办公,线上,4800,9,1267
2024-06-17,华南,广州,食品生鲜,线上,310,6,48
2024-06-21,华东,南京,电脑办公,线下,8190,2,2200
2024-06-12,华东,苏州,服饰鞋包,线上,1320,1,400
2024-06-27,华东,杭州,食品生鲜,线下,270,5,36
2024-06-04,西南,成都,手机数码,线下,7140,6,838
2024-06-05,华北,天津,家用电器,线上,4610,1,959
2024-06-14,西北,西安,美妆个护,线下,450,7,145
2024-06-10,华南,深圳,手机数码,线下,6310,6,1276
2024-06-04,华东,杭州,食品生鲜,线下,490,4,87
2024-06-20,华东,杭州,服饰鞋包,线下,1160,5,260
2024-06-06,华南,广州,家用电器,线下,5860,7,822
2024-06-19,华中,武汉,美妆个护,线下,660,4,254
2024-06-20,东北,哈尔滨,美妆个护,线上,910,7,350
2024-06-26,华中,武汉,美妆个护,线上,1040,3,423
2024-06-03,华中,长沙,食品生鲜,线上,320,2,54
2024-06-01,华中,郑州,手机数码,线下,7080,3,1089
2024-06-11,华南,厦门,食品生鲜,线下,450,7,76
2024-06-11,西北,西安,服饰鞋包,线下,1240,2,344
2024-06-06,华北,石家庄,美妆个护,线上,720,2,222
2024-06-09,华中,长沙,手机数码,线上,2590,7,367
2024-06-03,华东,上海,手机数码,线下,7210,9,855
2024-06-04,东北,哈尔滨,食品生鲜,线上,350,7,48
2024-06-21,西北,西安,家用电器,线下,5730,5,1475
2024-06-24,华中,武汉,美妆个护,线上,820,2,252
2024-06-26,华北,北京,电脑办公,线上,3760,3,883
2024-06-03,西北,兰州,美妆个护,线下,720,5,252
2024-06-27,华南,厦门,食品生鲜,线上,280,1,33
2024-06-26,西南,重庆,家用电器,线下,5770,2,1175
2024-06-02,华南,深圳,家用电器,线上,5040,8,798
2024-06-12,华南,海口,手机数码,线下,7110,4,1079
2024-06-13,华东,上海,家用电器,线上,2630,5,549
2024-06-13,西南,昆明,食品生鲜,线上,260,9,45
2024-06-08,西南,贵阳,家用电器,线上,3020,5,692
2024-06-11,华东,上海,美妆个护,线上,660,6,235
2024-06-15,东北,沈阳,食品生鲜,线上,340,7,54
2024-06-20,华北,太原,家用电器,线下,5570,9,1402
2024-06-03,华南,广州,手机数码,线下,5410,1,825
2024-06-19,西南,成都,服饰鞋包,线下,1430,2,332
2024-06-25,华南,海口,手机数码,线下,4490,4,735
2024-06-05,西北,乌鲁木齐,服饰鞋包,线上,670,6,186
2024-06-22,西南,贵阳,电脑办公,线上,8250,6,1478
2024-07-18,东北,沈阳,电脑办公,线上,2870,8,480
2024-07-04,华东,苏州,服饰鞋包,线下,1100,3,252
2024-07-18,西北,乌鲁木齐,手机数码,线上,3270,7,406
2024-07-24,东北,沈阳,食品生鲜,线下,390,2,56
2024-07-07,西南,重庆,美妆个护,线下,830,3,241
2024-07-09,华南,广州,美妆个护,线下,820,6,196
2024-07-07,华东,上海,食品生鲜,线下,240,5,32
2024-07-09,华北,石家庄,电脑办公,线下,2490,1,427
2024-07-26,华北,太原,电脑办公,线上,3230,3,879
2024-07-05,东北,沈阳,手机数码,线下,3830,1,537
2024-07-14,华北,石家庄,食品生鲜,线下,250,4,30
2024-07-11,西北,兰州,电脑办公,线下,6900,5,1869
2024-07-11,华南,深圳,服饰鞋包,线上,920,3,322
2024-07-10,东北,大连,电脑办公,线上,4710,2,930
2024-07-18,东北,大连,家用电器,线上,1550,7,264
2024-07-06,华中,长沙,电脑办公,线上,3170,7,583
2024-07-25,华北,天津,电脑办公,线下,3660,2,686
2024-07-06,西南,成都,美妆个护,线下,760,8,264
2024-07-03,华南,厦门,食品生鲜,线上,150,8,24
2024-07-22,华东,杭州,美妆个护,线上,560,7,176
2024-07-16,华北,太原,美妆个护,线上,770,3,237
2024-07-05,东北,大连,电脑办公,线上,4580,2,829
2024-07-06,西南,重庆,电脑办公,线上,2660,5,537
2024-07-14,东北,哈尔滨,食品生鲜,线上,290,3,32
2024-07-04,华东,南京,服饰鞋包,线下,740,6,245
2024-07-12,西北,兰州,服饰鞋包,线下,680,7,170
2024-07-15,华北,天津,食品生鲜,线下,200,5,28
2024-07-09,西北,乌鲁木齐,服饰鞋包,线上,1250,3,339
2024-07-03,西北,乌鲁木齐,家用电器,线上,2060,4,414
2024-07-09,东北,哈尔滨,电脑办公,线上,3700,5,728
2024-07-09,华北,北京,家用电器,线下,4110,4,833
2024-07-06,华南,厦门,美妆个护,线上,580,2,190
2024-07-19,东北,沈阳,电脑办公,线上,5870,8,1280
2024-07-15,西北,兰州,电脑办公,线下,4770,6,960
2024-07-12,华中,武汉,电脑办公,线上,2420,8,392
2024-07-07,华南,深圳,家用电器,线上,2160,6,520
2024-07-12,东北,沈阳,服饰鞋包,线下,820,3,260
2024-07-09,东北,沈阳,手机数码,线下,3480,4,705
2024-07-15,华北,石家庄,食品生鲜,线上,310,2,45
2024-07-14,华中,武汉,手机数码,线上,1970,9,342
2024-07-16,西南,成都,美妆个护,线下,400,1,139
2024-07-06,华中,长沙,家用电器,线上,3270,1,545
2024-07-17,华北,石家庄,手机数码,线上,3360,9,608
2024-07-05,华中,武汉,服饰鞋包,线下,1110,4,293
2024-07-05,东北,沈阳,美妆个护,线上,740,8,314
2024-07-19,西南,成都,美妆个护,线上,390,7,117
2024-07-15,华中,郑州,服饰鞋包,线上,1210,1,441
2024-07-16,东北,沈阳,电脑办公,线下,3900,7,909
2024-08-12,华北,北京,食品生鲜,线下,380,8,48
2024-08-09,华中,武汉,家用电器,线上,2730,2,509
2024-08-13,西北,兰州,电脑办公,线上,6260,4,1008
2024-08-07,华北,天津,手机数码,线上,2430,7,459
2024-08-07,华中,郑州,食品生鲜,线上,140,4,19
2024-08-17,华东,苏州,手机数码,线下,1980,3,294
2024-08-15,东北,大连,手机数码,线下,3940,6,739
2024-08-25,华中,武汉,家用电器,线下,4370,3,793
2024-08-14,华中,南昌,电脑办公,线下,6750,9,1704
2024-08-04,西南,重庆,食品生鲜,线上,310,2,50
2024-08-06,东北,沈阳,食品生鲜,线上,240,7,25
2024-08-18,西北,西安,手机数码,线上,3240,1,502
2024-08-19,华北,太原,服饰鞋包,线上,1080,8,341
2024-08-08,华中,武汉,家用电器,线下,2650,2,645
2024-08-14,华北,太原,手机数码,线上,5100,1,609
2024-08-24,华东,杭州,食品生鲜,线上,220,9,23
2024-08-19,华北,石家庄,电脑办公,线上,2260,3,603
2024-08-20,华中,长沙,食品生鲜,线上,290,1,39
2024-08-08,西南,重庆,电脑办公,线上,5160,6,876
2024-08-03,东北,大连,手机数码,线下,5440,6,968
2024-08-03,华中,南昌,电脑办公,线上,2950,1,495
2024-08-03,华北,太原,电脑办公,线下,6540,6,1571
2024-08-03,华南,广州,电脑办公,线下,6890,3,1324
2024-08-04,华东,苏州,食品生鲜,线上,290,5,50
2024-08-26,华北,石家庄,服饰鞋包,线上,1130,2,417
2024-08-24,华东,苏州,美妆个护,线下,870,5,289
2024-08-19,华北,北京,电脑办公,线上,3420,4,544
2024-08-22,华中,长沙,电脑办公,线上,2700,3,624
2024-08-20,西南,贵阳,手机数码,线下,3130,6,585
2024-08-05,东北,沈阳,手机数码,线下,3980,9,784
2024-08-12,西北,乌鲁木齐,服饰鞋包,线上,730,7,242
2024-08-20,华东,上海,手机数码,线上,2920,8,593
2024-08-25,东北,沈阳,服饰鞋包,线下,1300,7,505
2024-08-08,华中,长沙,美妆个护,线上,750,3,308
2024-08-15,西南,重庆,家用电器,线上,1500,8,245
2024-08-10,西南,昆明,手机数码,线下,4600,3,865
2024-08-22,华东,杭州,食品生鲜,线上,170,5,30
2024-08-15,华南,海口,手机数码,线上,2450,2,393
2024-08-06,华北,石家庄,家用电器,线下,4530,9,699
2024-08-01,西南,重庆,食品生鲜,线下,360,6,62
2024-09-08,华南,深圳,手机数码,线上,3520,5,450
2024-09-08,东北,哈尔滨,美妆个护,线下,460,5,170
2024-09-24,华北,北京,美妆个护,线下,570,5,222
2024-09-02,西南,重庆,电脑办公,线下,5540,7,894
2024-09-18,华南,厦门,美妆个护,线下,450,2,152
2024-09-01,华东,上海,电脑办公,线上,4020,2,917
2024-09-16,华北,北京,服饰鞋包,线上,420,2,155
2024-09-20,西北,兰州,手机数码,线上,4260,5,834
2024-09-14,华北,北京,手机数码,线下,5090,1,695
2024-09-06,华东,杭州,家用电器,线上,3380,9,822
2024-09-05,华南,广州,美妆个护,线下,530,7,217
2024-09-19,西南,贵阳,食品生鲜,线下,280,8,47
2024-09-06,华北,天津,食品生鲜,线上,280,7,38
2024-09-26,华北,天津,美妆个护,线下,530,5,213
2024-09-22,华南,深圳,电脑办公,线上,5120,9,1250
2024-09-04,华南,广州,美妆个护,线下,290,9,92
2024-09-16,华南,海口,美妆个护,线上,730,9,257
2024-09-24,华南,厦门,服饰鞋包,线下,650,1,150
2024-09-24,西南,成都,电脑办公,线上,4450,7,1261
2024-09-15,华东,南京,美妆个护,线上,610,7,226
2024-09-23,华北,天津,美妆个护,线上,590,1,189
2024-09-27,华南,厦门,服饰鞋包,线上,520,1,162
2024-09-22,华中,南昌,食品生鲜,线上,270,9,32
2024-09-07,西北,西安,手机数码,线上,2760,7,424
2024-09-09,华东,杭州,服饰鞋包,线下,1260,8,298
2024-09-20,西北,西安,服饰鞋包,线下,460,2,112
2024-09-08,西北,兰州,家用电器,线上,3380,7,742
2024-09-17,华北,太原,手机数码,线下,2070,4,396
2024-09-14,东北,哈尔滨,食品生鲜,线上,120,5,14
2024-09-02,华南,广州,美妆个护,线上,700,3,219
2024-09-14,华东,上海,服饰鞋包,线下,1270,3,309
2024-09-08,华中,武汉,家用电器,线下,1930,8,310
2024-09-03,西北,兰州,电脑办公,线上,4790,6,781
2024-09-07,华东,杭州,食品生鲜,线上,200,7,36
2024-09-27,华中,南昌,食品生鲜,线上,260,9,27
2024-09-12,华南,广州,美妆个护,线上,440,8,185
2024-09-06,华南,深圳,手机数码,线下,2740,5,404
2024-09-05,东北,大连,服饰鞋包,线下,850,6,313
2024-09-14,华东,上海,美妆个护,线上,540,4,210
2024-09-19,华北,天津,食品生鲜,线上,280,5,40
2024-09-25,西南,昆明,手机数码,线上,2520,4,453
2024-09-21,东北,大连,手机数码,线上,1850,7,370
2024-09-19,西南,重庆,手机数码,线上,4120,4,666
2024-09-22,华北,太原,家用电器,线上,3330,6,859
2024-09-05,东北,哈尔滨,美妆个护,线上,440,4,180
2024-09-19,西北,兰州,美妆个护,线上,550,1,227
2024-09-23,华中,南昌,家用电器,线下,1960,5,342
2024-10-12,华南,厦门,手机数码,线下,4060,7,505
2024-10-13,西北,西安,家用电器,线上,3280,4,528
2024-10-01,华北,太原,手机数码,线下,1820,9,360
2024-10-08,西北,乌鲁木齐,食品生鲜,线上,180,1,29
2024-10-19,华东,苏州,美妆个护,线下,420,7,119
2024-10-27,西南,成都,美妆个护,线上,270,8,84
2024-10-20,东北,哈尔滨,电脑办公,线下,4600,8,1060
2024-10-26,东北,大连,美妆个护,线上,320,1,120
2024-10-13,华南,海口,服饰鞋包,线上,910,9,253
2024-10-15,华南,海口,家用电器,线下,2590,3,449
2024-10-22,华东,南京,美妆个护,线下,480,1,115
2024-10-11,西南,成都,电脑办公,线下,5230,6,1192
2024-10-26,华北,天津,家用电器,线上,2970,8,514
2024-10-22,西北,乌鲁木齐,手机数码,线上,1810,1,212
